student,section,pre,post,se1,se2,se3,se4,se5,se6,exercise,fixed,minutes
S05,sprint,10,12,2,3,2,3,4,2,E12,1,6.7
S06,sprint,5,5,3,4,1,1,3,3,E01,1,5.4
S06,sprint,5,5,3,4,1,1,3,3,E02,1,9.4
S06,sprint,5,5,3,4,1,1,3,3,E03,1,2.4
S06,sprint,5,5,3,4,1,1,3,3,E05,1,4.2
S06,sprint,5,5,3,4,1,1,3,3,E06,0,19.8
S06,sprint,5,5,3,4,1,1,3,3,E07,0,30.0
S06,sprint,5,5,3,4,1,1,3,3,E08,1,6.9
S06,sprint,5,5,3,4,1,1,3,3,E09,0,21.2
S06,sprint,5,5,3,4,1,1,3,3,E10,1,8.6
S06,sprint,5,5,3,4,1,1,3,3,E12,0,11.5
S07,sprint,8,12,4,3,4,4,3,4,E01,1,7.5
S07,sprint,8,12,4,3,4,4,3,4,E02,1,7.3
S07,sprint,8,12,4,3,4,4,3,4,E03,1,5.5
S07,sprint,8,12,4,3,4,4,3,4,E04,1,3.1
S07,sprint,8,12,4,3,4,4,3,4,E05,1,7.2
S07,sprint,8,12,4,3,4,4,3,4,E06,1,6.3
S07,sprint,8,12,4,3,4,4,3,4,E07,1,5.1
S07,sprint,8,12,4,3,4,4,3,4,E08,0,11.2
S07,sprint,8,12,4,3,4,4,3,4,E09,0,19.8
S07,sprint,8,12,4,3,4,4,3,4,E10,0,16.9
S07,sprint,8,12,4,3,4,4,3,4,E11,1,5.4
S07,sprint,8,12,4,3,4,4,3,4,E12,0,10.0
S08,sprint,8,11,4,3,2,2,2,3,E01,1,1.5
S08,sprint,8,11,4,3,2,2,2,3,E02,1,3.7
S08,sprint,8,11,4,3,2,2,2,3,E03,1,8.1
S08,sprint,8,11,4,3,2,2,2,3,E04,1,3.7
S08,sprint,8,11,4,3,2,2,2,3,E05,1,5.1
S08,sprint,8,11,4,3,2,2,2,3,E06,1,4.0
S08,sprint,8,11,4,3,2,2,2,3,E07,1,4.3
S08,sprint,8,11,4,3,2,2,2,3,E08,1,4.0
S08,sprint,8,11,4,3,2,2,2,3,E09,1,7.0
S08,sprint,8,11,4,3,2,2,2,3,E10,1,9.8
S08,sprint,8,11,4,3,2,2,2,3,E12,1,5.1
S09,sprint,10,13,3,3,3,1,2,4,E01,1,6.6
S09,sprint,10,13,3,3,3,1,2,4,E02,1,7.2
S09,sprint,10,13,3,3,3,1,2,4,E03,1,7.9
S09,sprint,10,13,3,3,3,1,2,4,E04,1,2.4
S09,sprint,10,13,3,3,3,1,2,4,E05,1,2.2
S09,sprint,10,13,3,3,3,1,2,4,E06,1,4.0
S09,sprint,10,13,3,3,3,1,2,4,E10,0,14.0
S09,sprint,10,13,3,3,3,1,2,4,E11,0,13.1
S09,sprint,10,13,3,3,3,1,2,4,E12,0,13.0
S10,sprint,9,12,3,2,2,3,4,3,E01,1,3.1
S10,sprint,9,12,3,2,2,3,4,3,E02,1,4.1
S10,sprint,9,12,3,2,2,3,4,3,E03,0,14.0
S10,sprint,9,12,3,2,2,3,4,3,E04,1,3.2
S10,sprint,9,12,3,2,2,3,4,3,E05,1,4.7
S10,sprint,9,12,3,2,2,3,4,3,E06,1,5.1
S10,sprint,9,12,3,2,2,3,4,3,E07,0,20.7
S10,sprint,9,12,3,2,2,3,4,3,E08,1,3.7
S10,sprint,9,12,3,2,2,3,4,3,E09,0,15.7
S10,sprint,9,12,3,2,2,3,4,3,E10,1,8.8
S10,sprint,9,12,3,2,2,3,4,3,E11,0,11.3
S10,sprint,9,12,3,2,2,3,4,3,E12,1,4.9
S11,sprint,15,18,4,4,4,5,5,5,E01,1,1.5
S11,sprint,15,18,4,4,4,5,5,5,E02,1,6.1
S11,sprint,15,18,4,4,4,5,5,5,E03,1,2.9
S11,sprint,15,18,4,4,4,5,5,5,E04,1,3.3
S11,sprint,15,18,4,4,4,5,5,5,E05,1,1.9
S11,sprint,15,18,4,4,4,5,5,5,E06,1,2.4
S11,sprint,15,18,4,4,4,5,5,5,E07,1,2.1
S11,sprint,15,18,4,4,4,5,5,5,E08,1,1.7
S11,sprint,15,18,4,4,4,5,5,5,E09,1,9.9
S11,sprint,15,18,4,4,4,5,5,5,E10,1,6.3
S11,sprint,15,18,4,4,4,5,5,5,E11,1,2.1
S11,sprint,15,18,4,4,4,5,5,5,E12,1,4.6
S12,sprint,10,13,5,2,4,3,4,3,E01,1,2.7
S12,sprint,10,13,5,2,4,3,4,3,E02,1,2.4
S12,sprint,10,13,5,2,4,3,4,3,E03,1,1.1
S12,sprint,10,13,5,2,4,3,4,3,E04,1,3.0
S12,sprint,10,13,5,2,4,3,4,3,E05,0,10.6
S12,sprint,10,13,5,2,4,3,4,3,E06,1,5.3
S12,sprint,10,13,5,2,4,3,4,3,E07,1,6.9
S12,sprint,10,13,5,2,4,3,4,3,E08,1,5.3
S12,sprint,10,13,5,2,4,3,4,3,E09,0,11.9
S12,sprint,10,13,5,2,4,3,4,3,E10,1,5.3
S12,sprint,10,13,5,2,4,3,4,3,E11,1,7.1
S12,sprint,10,13,5,2,4,3,4,3,E12,1,4.4
S13,sprint,12,15,3,3,5,4,2,3,E01,1,2.6
S13,sprint,12,15,3,3,5,4,2,3,E02,1,2.8
S13,sprint,12,15,3,3,5,4,2,3,E03,1,8.9
S13,sprint,12,15,3,3,5,4,2,3,E04,1,3.5
S13,sprint,12,15,3,3,5,4,2,3,E05,1,4.8
S13,sprint,12,15,3,3,5,4,2,3,E06,1,6.0
S13,sprint,12,15,3,3,5,4,2,3,E07,1,6.9
S13,sprint,12,15,3,3,5,4,2,3,E08,1,4.4
S13,sprint,12,15,3,3,5,4,2,3,E09,1,2.6
S13,sprint,12,15,3,3,5,4,2,3,E10,1,4.8
S13,sprint,12,15,3,3,5,4,2,3,E11,0,21.7
S13,sprint,12,15,3,3,5,4,2,3,E12,0,23.8
S14,sprint,8,13,3,2,3,3,3,1,E01,0,10.4
S14,sprint,8,13,3,2,3,3,3,1,E02,1,6.7
S14,sprint,8,13,3,2,3,3,3,1,E03,1,5.4
S14,sprint,8,13,3,2,3,3,3,1,E04,1,5.5
S14,sprint,8,13,3,2,3,3,3,1,E05,1,6.6
S14,sprint,8,13,3,2,3,3,3,1,E06,1,5.7
S14,sprint,8,13,3,2,3,3,3,1,E07,0,12.9
S14,sprint,8,13,3,2,3,3,3,1,E08,1,7.8
S14,sprint,8,13,3,2,3,3,3,1,E09,1,9.0
S14,sprint,8,13,3,2,3,3,3,1,E10,1,5.4
S14,sprint,8,13,3,2,3,3,3,1,E11,0,11.9
S14,sprint,8,13,3,2,3,3,3,1,E12,0,11.5
S15,sprint,8,12,5,2,3,3,2,3,E01,0,16.3
S15,sprint,8,12,5,2,3,3,2,3,E02,1,1.8
S15,sprint,8,12,5,2,3,3,2,3,E03,1,4.6
S15,sprint,8,12,5,2,3,3,2,3,E05,0,15.9
S15,sprint,8,12,5,2,3,3,2,3,E06,1,7.5
S15,sprint,8,12,5,2,3,3,2,3,E07,1,7.0
S15,sprint,8,12,5,2,3,3,2,3,E09,1,3.6
S15,sprint,8,12,5,2,3,3,2,3,E10,0,11.8
S15,sprint,8,12,5,2,3,3,2,3,E11,0,18.7
S15,sprint,8,12,5,2,3,3,2,3,E12,0,13.4
S16,sprint,13,17,4,2,3,4,4,3,E01,1,1.4
S16,sprint,13,17,4,2,3,4,4,3,E02,1,1.5
S16,sprint,13,17,4,2,3,4,4,3,E03,1,1.5
S16,sprint,13,17,4,2,3,4,4,3,E04,1,5.6
S16,sprint,13,17,4,2,3,4,4,3,E05,1,4.5
S16,sprint,13,17,4,2,3,4,4,3,E06,1,3.2
S16,sprint,13,17,4,2,3,4,4,3,E07,1,2.1
S16,sprint,13,17,4,2,3,4,4,3,E08,1,1.7
S16,sprint,13,17,4,2,3,4,4,3,E09,0,16.0
S16,sprint,13,17,4,2,3,4,4,3,E10,1,6.3
S16,sprint,13,17,4,2,3,4,4,3,E11,0,13.6
S16,sprint,13,17,4,2,3,4,4,3,E12,1,3.4
S17,sprint,7,9,2,1,3,3,2,2,E01,1,3.7
S17,sprint,7,9,2,1,3,3,2,2,E02,1,4.4
S17,sprint,7,9,2,1,3,3,2,2,E03,1,3.7
S17,sprint,7,9,2,1,3,3,2,2,E04,1,7.5
S17,sprint,7,9,2,1,3,3,2,2,E05,1,8.7
S17,sprint,7,9,2,1,3,3,2,2,E06,1,6.9
S17,sprint,7,9,2,1,3,3,2,2,E07,0,15.0
S17,sprint,7,9,2,1,3,3,2,2,E08,0,16.4
S17,sprint,7,9,2,1,3,3,2,2,E09,1,8.0
S17,sprint,7,9,2,1,3,3,2,2,E10,0,16.2
S17,sprint,7,9,2,1,3,3,2,2,E11,0,30.0
S17,sprint,7,9,2,1,3,3,2,2,E12,0,30.0
S18,sprint,11,13,4,3,1,5,4,4,E01,1,2.9
S18,sprint,11,13,4,3,1,5,4,4,E02,1,4.1
S18,sprint,11,13,4,3,1,5,4,4,E03,1,5.3
S18,sprint,11,13,4,3,1,5,4,4,E04,1,3.3
S18,sprint,11,13,4,3,1,5,4,4,E05,1,8.4
S18,sprint,11,13,4,3,1,5,4,4,E06,1,7.9
S18,sprint,11,13,4,3,1,5,4,4,E07,1,8.2
S18,sprint,11,13,4,3,1,5,4,4,E08,1,7.0
S18,sprint,11,13,4,3,1,5,4,4,E09,1,4.7
S18,sprint,11,13,4,3,1,5,4,4,E10,1,7.4
S18,sprint,11,13,4,3,1,5,4,4,E11,0,14.8
S18,sprint,11,13,4,3,1,5,4,4,E12,1,5.1
S19,sprint,7,9,3,3,4,2,3,3,E01,1,3.4
S19,sprint,7,9,3,3,4,2,3,3,E03,1,3.3
S19,sprint,7,9,3,3,4,2,3,3,E04,1,9.6
S19,sprint,7,9,3,3,4,2,3,3,E05,1,8.4
S19,sprint,7,9,3,3,4,2,3,3,E06,1,8.2
S19,sprint,7,9,3,3,4,2,3,3,E07,0,11.0
S19,sprint,7,9,3,3,4,2,3,3,E08,1,8.5
S19,sprint,7,9,3,3,4,2,3,3,E09,0,17.0
S19,sprint,7,9,3,3,4,2,3,3,E10,1,6.4
S19,sprint,7,9,3,3,4,2,3,3,E11,1,7.1
S20,sprint,11,14,5,5,3,4,4,3,E01,1,1.7
S20,sprint,11,14,5,5,3,4,4,3,E02,1,1.9
S20,sprint,11,14,5,5,3,4,4,3,E03,1,1.6
S20,sprint,11,14,5,5,3,4,4,3,E04,1,2.5
S20,sprint,11,14,5,5,3,4,4,3,E05,1,1.3
S20,sprint,11,14,5,5,3,4,4,3,E06,1,3.6
S20,sprint,11,14,5,5,3,4,4,3,E07,1,7.6
S20,sprint,11,14,5,5,3,4,4,3,E08,1,8.0
S20,sprint,11,14,5,5,3,4,4,3,E09,1,4.3
S20,sprint,11,14,5,5,3,4,4,3,E10,1,5.7
S20,sprint,11,14,5,5,3,4,4,3,E11,1,2.8
S20,sprint,11,14,5,5,3,4,4,3,E12,1,9.6
S21,sprint,10,12,4,3,5,3,4,5,E01,1,2.5
S21,sprint,10,12,4,3,5,3,4,5,E02,1,3.0
S21,sprint,10,12,4,3,5,3,4,5,E03,1,3.1
S21,sprint,10,12,4,3,5,3,4,5,E05,1,2.9
S21,sprint,10,12,4,3,5,3,4,5,E06,1,6.4
S21,sprint,10,12,4,3,5,3,4,5,E07,1,4.5
S21,sprint,10,12,4,3,5,3,4,5,E08,0,21.4
S21,sprint,10,12,4,3,5,3,4,5,E09,0,30.0
S21,sprint,10,12,4,3,5,3,4,5,E10,0,13.4
S21,sprint,10,12,4,3,5,3,4,5,E11,0,14.6
S21,sprint,10,12,4,3,5,3,4,5,E12,1,6.3
S22,control,16,18,5,5,4,4,4,5,E01,1,0.7
S22,control,16,18,5,5,4,4,4,5,E02,1,1.1
S22,control,16,18,5,5,4,4,4,5,E03,1,3.6
S22,control,16,18,5,5,4,4,4,5,E04,1,0.9
S22,control,16,18,5,5,4,4,4,5,E05,1,3.5
S22,control,16,18,5,5,4,4,4,5,E06,1,4.5
S22,control,16,18,5,5,4,4,4,5,E07,1,2.2
S22,control,16,18,5,5,4,4,4,5,E08,1,2.0
S22,control,16,18,5,5,4,4,4,5,E09,1,3.7
S22,control,16,18,5,5,4,4,4,5,E10,1,3.0
S22,control,16,18,5,5,4,4,4,5,E11,1,2.3
S22,control,16,18,5,5,4,4,4,5,E12,1,6.7
S23,control,15,16,3,5,4,4,5,2,E01,1,0.9
S23,control,15,16,3,5,4,4,5,2,E02,1,5.9
S23,control,15,16,3,5,4,4,5,2,E03,1,1.1
S23,control,15,16,3,5,4,4,5,2,E04,1,3.6
S23,control,15,16,3,5,4,4,5,2,E05,1,1.9
S23,control,15,16,3,5,4,4,5,2,E06,1,5.1
S23,control,15,16,3,5,4,4,5,2,E07,1,5.1
S23,control,15,16,3,5,4,4,5,2,E08,1,4.0
S23,control,15,16,3,5,4,4,5,2,E09,1,5.0
S23,control,15,16,3,5,4,4,5,2,E10,0,10.8
S23,control,15,16,3,5,4,4,5,2,E11,1,8.4
S23,control,15,16,3,5,4,4,5,2,E12,1,4.2
S24,control,7,6,2,3,4,4,2,2,E01,0,13.3
S24,control,7,6,2,3,4,4,2,2,E02,1,8.6
S24,control,7,6,2,3,4,4,2,2,E03,0,18.9
S24,control,7,6,2,3,4,4,2,2,E04,1,6.0
S24,control,7,6,2,3,4,4,2,2,E06,1,8.0
S24,control,7,6,2,3,4,4,2,2,E07,0,16.8
S24,control,7,6,2,3,4,4,2,2,E08,0,30.0
S24,control,7,6,2,3,4,4,2,2,E09,0,28.0
S24,control,7,6,2,3,4,4,2,2,E10,0,30.0
S24,control,7,6,2,3,4,4,2,2,E11,0,30.0
S24,control,7,6,2,3,4,4,2,2,E12,0,18.1
S25,control,6,8,3,1,2,1,1,1,E01,0,11.2
S25,control,6,8,3,1,2,1,1,1,E02,1,6.3
S25,control,6,8,3,1,2,1,1,1,E03,1,8.3
S25,control,6,8,3,1,2,1,1,1,E05,1,9.0
S25,control,6,8,3,1,2,1,1,1,E06,1,6.1
S25,control,6,8,3,1,2,1,1,1,E07,0,28.1
S25,control,6,8,3,1,2,1,1,1,E08,0,28.0
S25,control,6,8,3,1,2,1,1,1,E09,0,29.9
S25,control,6,8,3,1,2,1,1,1,E10,0,11.8
S25,control,6,8,3,1,2,1,1,1,E11,0,30.0
S25,control,6,8,3,1,2,1,1,1,E12,0,30.0
S26,control,7,8,4,3,2,1,4,3,E01,1,2.6
S26,control,7,8,4,3,2,1,4,3,E03,1,2.8
S26,control,7,8,4,3,2,1,4,3,E04,1,1.8
S26,control,7,8,4,3,2,1,4,3,E05,1,8.3
S26,control,7,8,4,3,2,1,4,3,E06,1,6.3
S26,control,7,8,4,3,2,1,4,3,E07,1,9.2
S26,control,7,8,4,3,2,1,4,3,E08,0,30.0
S26,control,7,8,4,3,2,1,4,3,E09,0,29.0
S26,control,7,8,4,3,2,1,4,3,E10,0,30.0
S26,control,7,8,4,3,2,1,4,3,E11,0,14.7
S26,control,7,8,4,3,2,1,4,3,E12,0,30.0
S27,control,10,12,4,2,3,3,2,3,E01,1,8.3
S27,control,10,12,4,2,3,3,2,3,E02,1,2.1
S27,control,10,12,4,2,3,3,2,3,E03,1,4.8
S27,control,10,12,4,2,3,3,2,3,E04,1,3.7
S27,control,10,12,4,2,3,3,2,3,E05,1,5.2
S27,control,10,12,4,2,3,3,2,3,E06,1,6.6
S27,control,10,12,4,2,3,3,2,3,E07,1,6.8
S27,control,10,12,4,2,3,3,2,3,E08,1,4.0
S27,control,10,12,4,2,3,3,2,3,E09,1,5.9
S27,control,10,12,4,2,3,3,2,3,E10,1,6.5
S27,control,10,12,4,2,3,3,2,3,E11,1,5.2
S27,control,10,12,4,2,3,3,2,3,E12,1,9.2
S28,control,8,10,2,3,3,3,4,4,E01,1,5.6
S28,control,8,10,2,3,3,3,4,4,E02,1,6.5
S28,control,8,10,2,3,3,3,4,4,E03,1,7.2
S28,control,8,10,2,3,3,3,4,4,E04,1,4.1
S28,control,8,10,2,3,3,3,4,4,E05,1,4.1
S28,control,8,10,2,3,3,3,4,4,E06,1,8.6
S28,control,8,10,2,3,3,3,4,4,E08,1,3.1
S28,control,8,10,2,3,3,3,4,4,E09,1,8.2
S28,control,8,10,2,3,3,3,4,4,E10,1,8.8
S28,control,8,10,2,3,3,3,4,4,E11,0,14.4
S28,control,8,10,2,3,3,3,4,4,E12,0,30.0
S29,control,13,14,4,1,3,4,3,3,E01,1,2.2
S29,control,13,14,4,1,3,4,3,3,E02,1,6.7
S29,control,13,14,4,1,3,4,3,3,E03,1,5.3
S29,control,13,14,4,1,3,4,3,3,E04,1,5.4
S29,control,13,14,4,1,3,4,3,3,E05,1,7.1
S29,control,13,14,4,1,3,4,3,3,E06,0,11.0
S29,control,13,14,4,1,3,4,3,3,E07,1,4.3
S29,control,13,14,4,1,3,4,3,3,E08,1,1.7
S29,control,13,14,4,1,3,4,3,3,E09,1,8.0
S29,control,13,14,4,1,3,4,3,3,E10,0,30.0
S29,control,13,14,4,1,3,4,3,3,E11,0,11.1
S29,control,13,14,4,1,3,4,3,3,E12,0,30.0
S30,control,7,6,3,2,3,2,3,3,E01,1,2.1
S30,control,7,6,3,2,3,2,3,3,E02,1,9.7
S30,control,7,6,3,2,3,2,3,3,E03,1,7.8
S30,control,7,6,3,2,3,2,3,3,E04,1,4.0
S30,control,7,6,3,2,3,2,3,3,E05,0,10.3
S30,control,7,6,3,2,3,2,3,3,E06,1,7.1
S30,control,7,6,3,2,3,2,3,3,E07,1,7.9
S30,control,7,6,3,2,3,2,3,3,E08,1,3.8
S30,control,7,6,3,2,3,2,3,3,E09,0,26.3
S30,control,7,6,3,2,3,2,3,3,E10,1,6.4
S30,control,7,6,3,2,3,2,3,3,E11,0,23.3
S30,control,7,6,3,2,3,2,3,3,E12,0,30.0
S31,control,6,5,3,1,2,3,2,2,E01,1,4.0
S31,control,6,5,3,1,2,3,2,2,E02,0,11.5
S31,control,6,5,3,1,2,3,2,2,E03,0,14.6
S31,control,6,5,3,1,2,3,2,2,E04,0,12.8
S31,control,6,5,3,1,2,3,2,2,E05,1,9.0
S31,control,6,5,3,1,2,3,2,2,E06,1,7.2
S31,control,6,5,3,1,2,3,2,2,E07,0,30.0
S31,control,6,5,3,1,2,3,2,2,E08,0,20.6
S31,control,6,5,3,1,2,3,2,2,E09,0,21.1
S31,control,6,5,3,1,2,3,2,2,E10,0,15.6
S31,control,6,5,3,1,2,3,2,2,E11,0,10.9
S31,control,6,5,3,1,2,3,2,2,E12,0,30.0
S32,control,12,13,4,3,4,4,4,5,E01,1,1.1
S32,control,12,13,4,3,4,4,4,5,E02,1,2.4
S32,control,12,13,4,3,4,4,4,5,E03,1,4.2
S32,control,12,13,4,3,4,4,4,5,E04,1,5.3
S32,control,12,13,4,3,4,4,4,5,E05,1,3.4
S32,control,12,13,4,3,4,4,4,5,E06,1,2.5
S32,control,12,13,4,3,4,4,4,5,E07,1,6.7
S32,control,12,13,4,3,4,4,4,5,E08,0,22.4
S32,control,12,13,4,3,4,4,4,5,E09,1,3.9
S32,control,12,13,4,3,4,4,4,5,E10,1,4.5
S32,control,12,13,4,3,4,4,4,5,E11,0,15.5
S32,control,12,13,4,3,4,4,4,5,E12,0,10.9
S33,control,11,13,3,4,4,4,4,5,E01,1,1.4
S33,control,11,13,3,4,4,4,4,5,E02,1,2.7
S33,control,11,13,3,4,4,4,4,5,E03,1,2.2
S33,control,11,13,3,4,4,4,4,5,E04,1,7.7
S33,control,11,13,3,4,4,4,4,5,E05,1,3.9
S33,control,11,13,3,4,4,4,4,5,E06,1,9.5
S33,control,11,13,3,4,4,4,4,5,E07,1,4.7
S33,control,11,13,3,4,4,4,4,5,E08,1,3.4
S33,control,11,13,3,4,4,4,4,5,E09,1,7.9
S33,control,11,13,3,4,4,4,4,5,E10,1,6.5
S33,control,11,13,3,4,4,4,4,5,E12,0,10.2
S34,control,5,9,3,2,1,1,2,4,E01,1,6.8
S34,control,5,9,3,2,1,1,2,4,E02,0,24.3
S34,control,5,9,3,2,1,1,2,4,E03,1,5.7
S34,control,5,9,3,2,1,1,2,4,E04,1,6.7
S34,control,5,9,3,2,1,1,2,4,E05,0,15.8
S34,control,5,9,3,2,1,1,2,4,E06,0,19.7
S34,control,5,9,3,2,1,1,2,4,E07,1,8.1
S34,control,5,9,3,2,1,1,2,4,E08,0,13.5
S34,control,5,9,3,2,1,1,2,4,E09,0,26.7
S34,control,5,9,3,2,1,1,2,4,E10,1,5.7
S34,control,5,9,3,2,1,1,2,4,E11,0,24.8
S34,control,5,9,3,2,1,1,2,4,E12,0,18.4
S35,control,10,10,4,4,4,2,4,4,E01,1,3.1
S35,control,10,10,4,4,4,2,4,4,E02,1,1.6
S35,control,10,10,4,4,4,2,4,4,E03,0,10.4
S35,control,10,10,4,4,4,2,4,4,E04,1,3.8
S35,control,10,10,4,4,4,2,4,4,E05,1,4.2
S35,control,10,10,4,4,4,2,4,4,E06,1,1.6
S35,control,10,10,4,4,4,2,4,4,E07,0,13.5
S35,control,10,10,4,4,4,2,4,4,E08,1,8.5
S35,control,10,10,4,4,4,2,4,4,E09,1,3.7
S35,control,10,10,4,4,4,2,4,4,E10,1,3.4
S35,control,10,10,4,4,4,2,4,4,E11,1,6.3
S35,control,10,10,4,4,4,2,4,4,E12,0,26.2
S36,control,8,7,3,4,2,4,3,4,E01,1,3.6
S36,control,8,7,3,4,2,4,3,4,E02,1,6.5
S36,control,8,7,3,4,2,4,3,4,E03,1,9.1
S36,control,8,7,3,4,2,4,3,4,E04,0,18.0
S36,control,8,7,3,4,2,4,3,4,E05,0,26.7
S36,control,8,7,3,4,2,4,3,4,E06,1,7.2
S36,control,8,7,3,4,2,4,3,4,E07,1,7.9
S36,control,8,7,3,4,2,4,3,4,E08,0,13.0
S36,control,8,7,3,4,2,4,3,4,E09,0,23.2
S36,control,8,7,3,4,2,4,3,4,E10,1,9.7
S36,control,8,7,3,4,2,4,3,4,E12,0,30.0
S37,control,9,10,2,4,4,2,3,2,E01,1,3.5
S37,control,9,10,2,4,4,2,3,2,E02,1,4.0
S37,control,9,10,2,4,4,2,3,2,E03,1,2.9
S37,control,9,10,2,4,4,2,3,2,E04,1,7.0
S37,control,9,10,2,4,4,2,3,2,E05,1,4.1
S37,control,9,10,2,4,4,2,3,2,E06,0,12.8
S37,control,9,10,2,4,4,2,3,2,E07,1,3.7
S37,control,9,10,2,4,4,2,3,2,E08,1,9.6
S37,control,9,10,2,4,4,2,3,2,E09,1,2.2
S37,control,9,10,2,4,4,2,3,2,E10,0,17.8
S37,control,9,10,2,4,4,2,3,2,E11,1,7.7
S37,control,9,10,2,4,4,2,3,2,E12,0,25.1
S38,control,10,11,2,4,2,2,3,4,E01,1,9.3
S38,control,10,11,2,4,2,2,3,4,E02,1,3.5
S38,control,10,11,2,4,2,2,3,4,E03,1,4.4
S38,control,10,11,2,4,2,2,3,4,E04,1,5.1
S38,control,10,11,2,4,2,2,3,4,E05,0,11.7
S38,control,10,11,2,4,2,2,3,4,E06,1,4.2
S38,control,10,11,2,4,2,2,3,4,E07,0,11.7
S38,control,10,11,2,4,2,2,3,4,E08,0,29.7
S38,control,10,11,2,4,2,2,3,4,E09,1,8.1
S38,control,10,11,2,4,2,2,3,4,E10,0,18.8
S38,control,10,11,2,4,2,2,3,4,E11,0,19.9
S38,control,10,11,2,4,2,2,3,4,E12,0,16.5
S39,control,9,9,1,2,2,4,3,2,E01,1,4.7
S39,control,9,9,1,2,2,4,3,2,E02,1,5.4
S39,control,9,9,1,2,2,4,3,2,E03,0,12.7
S39,control,9,9,1,2,2,4,3,2,E04,1,6.8
S39,control,9,9,1,2,2,4,3,2,E05,0,23.0
S39,control,9,9,1,2,2,4,3,2,E06,0,11.5
S39,control,9,9,1,2,2,4,3,2,E07,0,24.9
S39,control,9,9,1,2,2,4,3,2,E08,0,27.9
S39,control,9,9,1,2,2,4,3,2,E09,0,23.7
S39,control,9,9,1,2,2,4,3,2,E10,0,13.1
