id,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
D024,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0
D025,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
D026,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
D027,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0
D028,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0
D029,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
D030,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0
D031,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
D032,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
D033,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0
D034,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0
D035,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1
D036,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
D037,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
D038,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0
D039,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
D040,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
D041,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0
D042,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D043,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0
D044,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0
D045,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1
D046,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
D047,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
D048,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
D049,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1
D050,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0
D051,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0
D052,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
D053,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
D054,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0
D055,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
D056,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1
D057,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
D058,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0
D059,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
D060,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
D061,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
D062,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
D063,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
D064,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
D065,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
D066,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0
D067,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0
D068,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0
D069,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0
D070,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
D071,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
D072,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0
D073,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
D074,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
D075,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0
D076,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
D077,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D078,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0
D079,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0
D080,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0
D081,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
D082,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0
D083,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0
D084,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1
D085,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
D086,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
D087,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
D088,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0
D089,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
D090,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
D091,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
D092,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0
D093,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
D094,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
D095,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0
D096,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
D097,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
D098,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
D099,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
D100,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
D101,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
D102,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0
D103,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
D104,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D105,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
D106,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
D107,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1
D108,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
D109,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
D110,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
D111,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0
D112,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0
D113,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
D114,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
D115,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D116,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0
D117,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
D118,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
D119,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
D120,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
D121,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0
D122,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
D123,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
D124,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
D125,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
D126,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
D127,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0
D128,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
D129,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
D130,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
D131,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1
D132,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
D133,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
D134,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
D135,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
D136,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1
D137,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
D138,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0
D139,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
D140,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0
D141,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0
D142,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D143,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0
D144,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0
D145,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
D146,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D147,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0
D148,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0
D149,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1
D150,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
